dataset,scene,image,rotation_matrix,translation_vector
imc2023_heritage,outliers,outliers_dsc_4176_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4177_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4178_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4473_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_dsc_4474_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3222.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3225.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3229.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3233.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3237.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3240.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3249.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3250.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3251.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3253.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3254.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3255.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3261.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_3262.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8367.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8368.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8372.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8375.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8599.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8600.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8630_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8632.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8634.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8641.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8648.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8656_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8662.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8665_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8838_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8849_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8871.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8890.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8894.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8904.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8916.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8948_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_8978_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9065.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9068.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9070.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9072.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9075.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9076.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9078.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9078_thumb.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9084.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,outliers_img_9085.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0069.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0055.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1541.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0258.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0171.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0163.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1563.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0161.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0188.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0314.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0460.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0364.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1516.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1561.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0187.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0348.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0036.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0238.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0369.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0276.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1566.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0070.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0068.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0022.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0230.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0354.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0246.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0004.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0034.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0115.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0068.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1548.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0092.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0418.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0079.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0095.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0003.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1580.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0181.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0095.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0033.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0010.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0424.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0092.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0160.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0339.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0132.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0028.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0200.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1520.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0370.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0112.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0444.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0105.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0283.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0026.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0015.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0359.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0116.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0277.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0376.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0412.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0230.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0266.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0237.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_3dom_fbk_img_1524.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0081.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0209.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0401.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0213.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0338.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0216.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0071.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_archive_0072.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,dioscuri_img_0227.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6585.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6577.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6573.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6569.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6565.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6557.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6548.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6540.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6589.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6593.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6597.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6601.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6605.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6480.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6625.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6500.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6629.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6512.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6633.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6508.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6496.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6621.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6492.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6617.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6488.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6613.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6609.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6520.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6524.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,cyprus_dsc_6528.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,wall_dsc_5063_acr.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,wall_dsc_5060_acr.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,wall_dsc_5057_acr.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,wall_dsc_5054_acr.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_heritage,outliers,wall_dsc_5051_acr.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
